"Time","Frequency (Hz)","Level (dBµV/m)","Level_1 (dBµV/m)","Level_2 (dBµV/m)","Level_3 (dBµV/m)","Value Count","File Info"
"10/12/2021  12:10:00.000","   107625000","  43.9","   1.7","  40.1","  47.3","76",
"10/12/2021  12:10:00.000","   107650000","  51.6","   1.0","  49.4","  53.5","76",
"10/12/2021  12:10:00.000","   107675000","  56.1","   1.0","  53.1","  57.9","76",
"10/12/2021  11:40:00.000","   107700000","  57.4","   0.7","  56.0","  59.2","76",
"10/12/2021  12:10:00.000","   107725000","  55.9","   1.0","  52.6","  57.6","76",
"10/12/2021  12:10:00.000","   107750000","  51.2","   1.1","  48.7","  53.0","76",
"10/12/2021  10:40:00.000","   107775000","  43.3","   1.5","  39.1","  45.3","40",
"10/12/2021  11:30:00.000","   107800000","  33.6","   2.0","  29.3","  37.4","76",
"10/12/2021  11:30:00.000","   107825000","  29.4","   2.6","  23.0","  34.2","76",
"10/12/2021  12:00:00.000","   107850000","  36.9","   0.6","  33.8","  38.2","75",
"10/12/2021  10:40:00.000","   107875000","  44.9","   0.1","  44.7","  45.2","40",
"10/12/2021  11:40:00.000","   107900000","  48.8","   0.9","  45.7","  49.5","76",
"10/12/2021  10:40:00.000","   107925000","  45.0","   0.1","  44.7","  45.2","40",
"10/12/2021  12:00:00.000","   107950000","  36.8","   0.6","  33.6","  38.2","75",
"10/12/2021  12:00:00.000","   107975000","  27.5","   1.1","  23.8","  29.7","75",
"10/12/2021  12:00:00.000","   108000000","  20.7","   1.7","  17.5","  24.7","75",
